x,p,U_0,U_1,U_2
-5,17155.9,0,0,0
-4.94975,17155.9,1.80963,0,0
-4.8995,17159.9,3.71279,0,0
-4.84925,17163.6,5.61437,0,0
-4.79899,17149.2,7.41248,0,0
-4.74874,17135.8,9.21375,0,0
-4.69849,17159.6,11.1382,0,0
-4.64824,17181.1,13.0565,0,0
-4.59799,17139.8,14.8025,0,0
-4.54774,17103,16.5592,0,0
-4.49749,17160.9,18.541,0,0
-4.44724,17210.9,20.5067,0,0
-4.39698,17124.8,22.1952,0,0
-4.34673,17051.4,23.9058,0,0
-4.29648,17161.5,25.9338,0,0
-4.24623,17252.6,27.9344,0,0
-4.19598,17108,29.5977,0,0
-4.14573,16989.6,31.2901,0,0
-4.09548,17154.4,33.2958,0,0
-4.04523,17285.2,35.2765,0,0
-3.99497,17092.8,37.0185,0,0
-3.94472,16941.2,38.7763,0,0
-3.89447,17137.5,40.6692,0,0
-3.84422,17287.7,42.5614,0,0
-3.79397,17083,44.4494,0,0
-3.74372,16927.1,46.3235,0,0
-3.69347,17113.6,48.1015,0,0
-3.64322,17251.1,49.9067,0,0
-3.59296,17074.9,51.8876,0,0
-3.54271,16945.4,53.8279,0,0
-3.49246,17091.5,55.5295,0,0
-3.44221,17194.9,57.2775,0,0
-3.39196,17065.1,59.2789,0,0
-3.34171,16972.6,61.2307,0,0
-3.29146,17069,62.932,0,0
-3.24121,17133.7,64.6826,0,0
-3.19095,17048.9,66.6654,0,0
-3.1407,16989.9,68.6033,0,0
-3.09045,17044.8,70.3428,0,0
-3.0402,17079.1,72.1217,0,0
-2.98995,17028.2,74.0631,0,0
-2.9397,16993.3,75.9711,0,0
-2.88945,17020.3,77.7494,0,0
-2.8392,17035.2,79.5539,0,0
-2.78894,17006.2,81.4536,0,0
-2.73869,16986.3,83.3328,0,0
-2.68844,16997.3,85.141,0,0
-2.63819,17001.8,86.9648,0,0
-2.58794,16985.2,88.8392,0,0
-2.53769,16973.5,90.7019,0,0
-2.48744,16976.5,92.5286,0,0
-2.43719,16976,94.3634,0,0
-2.38693,16965,96.2219,0,0
-2.33668,16956.6,98.0744,0,0
-2.28643,16955.1,99.9103,0,0
-2.23618,16951.5,101.75,0,0
-2.18593,16942.5,103.601,0,0
-2.13568,16934.8,105.448,0,0
-2.08543,16930.8,107.285,0,0
-2.03518,16926,109.124,0,0
-1.98492,16919.3,110.966,0,0
-1.93467,16913.2,112.8,0,0
-1.88442,16908.7,114.613,0,0
-1.83417,16905.1,116.423,0,0
-1.78392,16903.1,118.228,0,0
-1.73367,16900.4,120.018,0,0
-1.68342,16896.5,121.777,0,0
-1.63317,16893.6,123.538,0,0
-1.58291,16892.8,125.302,0,0
-1.53266,16886.4,127.114,0,0
-1.48241,16869.3,129.017,0,0
-1.43216,16867.1,130.861,0,0
-1.38191,16892,132.597,0,0
-1.33166,17597.3,123.901,0,0
-1.28141,19486.4,97.0536,0,0
-1.23116,25595.6,45.4758,0,0
-1.1809,38738.5,-47.3195,0,0
-1.13065,48922.8,-112.459,0,0
-1.0804,54381,-133.422,0,0
-1.03015,57554.4,-144.431,0,0
-0.979899,57228.2,-140.192,0,0
-0.929648,56768.4,-135.696,0,0
-0.879397,56112.4,-130.822,0,0
-0.829146,55942.4,-127.778,0,0
-0.778894,56457.6,-127.316,0,0
-0.728643,57212.4,-128.098,0,0
-0.678392,58291.5,-130.565,0,0
