x,TTR,p,rho,U_0,U_1,U_2
-5,348.4,100000,1.00008,0,0,0
-4.89899,348.4,100000,1.00008,-2.47411e-15,0,0
-4.79798,348.4,100000,1.00008,-1.06558e-15,0,0
-4.69697,348.4,100000,1.00008,2.42512e-15,0,0
-4.59596,348.4,100000,1.00008,1.11458e-15,0,0
-4.49495,348.4,100000,1.00008,0,0,0
-4.39394,348.4,100000,1.00008,-2.71907e-15,0,0
-4.29293,348.4,100000,1.00008,6.85892e-16,0,0
-4.19192,348.4,100000,1.00008,2.03318e-15,0,0
-4.09091,348.4,100000,1.00008,0,0,0
-3.9899,348.4,100000,1.00008,0,0,0
-3.88889,348.4,100000,1.00008,-2.96403e-15,0,0
-3.78788,348.4,100000,1.00008,1.17582e-15,0,0
-3.68687,348.4,100000,1.00008,1.78822e-15,0,0
-3.58586,348.4,100000,1.00008,0,0,0
-3.48485,348.4,100000,1.00008,0,0,0
-3.38384,348.4,100000,1.00008,-3.209e-15,0,0
-3.28283,348.4,100000,1.00008,-1.59225e-15,0,0
-3.18182,348.4,100000,1.00008,3.30698e-15,0,0
-3.08081,348.4,100000,1.00008,1.49427e-15,0,0
-2.9798,348.4,100000,1.00008,0,0,0
-2.87879,348.4,100000,1.00008,-3.45396e-15,0,0
-2.77778,348.4,100000,1.00008,-1.34729e-15,0,0
-2.67677,348.4,100000,1.00008,3.55194e-15,0,0
-2.57576,348.4,100000,1.00008,1.2493e-15,0,0
-2.47475,348.4,100000,1.00008,0,0,0
-2.37374,348.4,100000,1.00008,0,0,0
-2.27273,348.4,100000,1.00008,0,0,0
-2.17172,348.4,100000,1.00008,0,0,0
-2.07071,348.4,100000,1.00008,0,0,0
-1.9697,348.4,100000,1.00008,0,0,0
-1.86869,348.4,100000,1.00008,0,0,0
-1.76768,348.4,100000,1.00008,0,0,0
-1.66667,348.4,100000,1.00008,0,0,0
-1.56566,348.4,100000,1.00008,-4.09086e-15,0,0
-1.46465,348.4,100000,1.00008,3.42946e-15,0,0
-1.36364,348.4,100000,1.00008,6.61396e-16,0,0
-1.26263,348.4,100000,1.00008,0,0,0
-1.16162,348.4,100000,1.00008,0,0,0
-1.06061,348.4,100000,1.00008,0,0,0
-0.959596,348.4,100000,1.00008,0,0,0
-0.858586,348.4,100000,1.00008,0,0,0
-0.757576,348.4,100000,1.00008,0,0,0
-0.656566,348.4,100000,1.00008,0,0,0
-0.555556,348.4,100000,1.00008,0,0,0
-0.454545,348.4,100000,1.00008,2.76027e-11,0,0
-0.353535,348.4,100000,1.00008,4.28592e-06,0,0
-0.252525,348.385,99991.3,1.00004,0.0233809,0,0
-0.151515,347.288,98750.8,0.990751,3.3589,0,0
-0.0505051,344.364,85813.6,0.86826,43.8715,0,0
0.0505051,302.797,21997.1,0.253105,165.119,0,0
0.151515,294.329,11660.1,0.138023,44.6415,0,0
0.252525,278.935,10015.5,0.125108,0.369949,0,0
0.353535,278.7,10000,0.125019,3.70134e-05,0,0
0.454545,278.7,10000,0.125019,1.17805e-10,0,0
0.555556,278.7,10000,0.125019,0,0,0
0.656566,278.7,10000,0.125019,0,0,0
0.757576,278.7,10000,0.125019,0,0,0
0.858586,278.7,10000,0.125019,0,0,0
0.959596,278.7,10000,0.125019,0,0,0
1.06061,278.7,10000,0.125019,0,0,0
1.16162,278.7,10000,0.125019,0,0,0
1.26263,278.7,10000,0.125019,0,0,0
1.36364,278.7,10000,0.125019,0,0,0
1.46465,278.7,10000,0.125019,0,0,0
1.56566,278.7,10000,0.125019,0,0,0
1.66667,278.7,10000,0.125019,0,0,0
1.76768,278.7,10000,0.125019,0,0,0
1.86869,278.7,10000,0.125019,0,0,0
1.9697,278.7,10000,0.125019,0,0,0
2.07071,278.7,10000,0.125019,0,0,0
2.17172,278.7,10000,0.125019,0,0,0
2.27273,278.7,10000,0.125019,0,0,0
2.37374,278.7,10000,0.125019,0,0,0
2.47475,278.7,10000,0.125019,0,0,0
2.57576,278.7,10000,0.125019,0,0,0
2.67677,278.7,10000,0.125019,0,0,0
2.77778,278.7,10000,0.125019,0,0,0
2.87879,278.7,10000,0.125019,0,0,0
2.9798,278.7,10000,0.125019,0,0,0
3.08081,278.7,10000,0.125019,7.47079e-16,0,0
3.18182,278.7,10000,0.125019,8.81798e-16,0,0
3.28283,278.7,10000,0.125019,-1.62888e-15,0,0
3.38384,278.7,10000,0.125019,0,0,0
3.48485,278.7,10000,0.125019,0,0,0
3.58586,278.7,10000,0.125019,8.69551e-16,0,0
3.68687,278.7,10000,0.125019,6.36854e-16,0,0
3.78788,278.7,10000,0.125019,-1.50641e-15,0,0
3.88889,278.7,10000,0.125019,0,0,0
3.9899,278.7,10000,0.125019,0,0,0
4.09091,278.7,10000,0.125019,0,0,0
4.19192,278.7,10000,0.125019,0,0,0
4.29293,278.7,10000,0.125019,0,0,0
4.39394,278.7,10000,0.125019,0,0,0
4.49495,278.7,10000,0.125019,0,0,0
4.59596,278.7,10000,0.125019,0,0,0
4.69697,278.7,10000,0.125019,0,0,0
4.79798,278.7,10000,0.125019,0,0,0
4.89899,278.7,10000,0.125019,0,0,0
5,278.7,10000,0.125019,0,0,0
