x,p,U_0,U_1,U_2
-5,33894.1,0,0,0
-4.94975,33894.1,2.93057,0,0
-4.8995,33895.5,5.88673,0,0
-4.84925,33896.7,8.84255,0,0
-4.79899,33889.2,11.7755,0,0
-4.74874,33881.9,14.7086,0,0
-4.69849,33885.1,17.6459,0,0
-4.64824,33887.8,20.5831,0,0
-4.59799,33879.1,23.513,0,0
-4.54774,33871,26.442,0,0
-4.49749,33873.7,29.3511,0,0
-4.44724,33875.7,32.2607,0,0
-4.39698,33864.6,35.1763,0,0
-4.34673,33854.4,38.0936,0,0
-4.29648,33858.2,41.0343,0,0
-4.24623,33859.8,43.9722,0,0
-4.19598,33832.9,46.8763,0,0
-4.14573,33809.9,49.7874,0,0
-4.09548,33829.6,52.7737,0,0
-4.04523,33841.3,55.7468,0,0
-3.99497,33777.4,58.5946,0,0
-3.94472,33727.4,61.463,0,0
-3.89447,33797,64.5073,0,0
-3.84422,33842.8,67.5207,0,0
-3.79397,33705.1,70.2956,0,0
-3.74372,33604,73.1094,0,0
-3.69347,33760.1,76.1954,0,0
-3.64322,33863.2,79.2341,0,0
-3.59296,33627.3,81.9694,0,0
-3.54271,33461.6,84.7512,0,0
-3.49246,33709.2,87.8077,0,0
-3.44221,33869.6,90.8307,0,0
-3.39196,33555.1,93.6714,0,0
-3.34171,33339.2,96.5337,0,0
-3.29146,33622.4,99.5058,0,0
-3.24121,33799.7,102.477,0,0
-3.19095,33477.6,105.444,0,0
-3.1407,33263.1,108.384,0,0
-3.09045,33522.3,111.212,0,0
-3.0402,33676.8,114.078,0,0
-2.98995,33398.8,117.105,0,0
-2.9397,33216.8,120.078,0,0
-2.88945,33407.2,122.841,0,0
-2.8392,33511.9,125.663,0,0
-2.78894,33304.1,128.697,0,0
-2.73869,33169.4,131.678,0,0
-2.68844,33286.5,134.479,0,0
-2.63819,33342.3,137.345,0,0
-2.58794,33198.6,140.422,0,0
-2.53769,33105.8,143.451,0,0
-2.48744,33170.2,146.332,0,0
-2.43719,33194.4,149.266,0,0
-2.38693,33100.7,152.36,0,0
-2.33668,33036.4,155.401,0,0
-2.28643,33053.3,158.299,0,0
-2.23618,33043.7,161.213,0,0
-2.18593,32964.3,164.169,0,0
-2.13568,32898.3,167.076,0,0
-2.08543,32866,169.858,0,0
-2.03518,32818.1,172.638,0,0
-1.98492,32732.9,175.415,0,0
-1.93467,32655.5,178.17,0,0
-1.88442,32595.9,180.878,0,0
-1.83417,32529,183.596,0,0
-1.78392,32446.2,186.336,0,0
-1.73367,32371.3,189.088,0,0
-1.68342,32313,191.862,0,0
-1.63317,32258.5,194.708,0,0
-1.58291,32211.6,197.695,0,0
-1.53266,32182.1,200.78,0,0
-1.48241,32185.6,204.051,0,0
-1.43216,32198.5,207.396,0,0
-1.38191,32228.6,210.875,0,0
-1.33166,32243.9,214.259,0,0
-1.28141,32233.7,217.476,0,0
-1.23116,32190.6,220.458,0,0
-1.1809,32092.9,223.048,0,0
-1.13065,31994.4,225.661,0,0
-1.0804,31894.6,228.312,0,0
-1.03015,31896.3,231.638,0,0
-0.979899,32053.7,235.998,0,0
-0.929648,32474.5,242.223,0,0
-0.879397,33282.2,251.186,0,0
-0.829146,33985.3,259.348,0,0
-0.778894,34540.8,266.383,0,0
-0.728643,34814.8,271.532,0,0
-0.678392,34707.9,274.129,0,0
-0.628141,34538.2,276.316,0,0
-0.577889,34287.1,277.969,0,0
-0.527638,34024.8,279.425,0,0
-0.477387,33748.5,280.635,0,0
-0.427136,33504.6,281.976,0,0
-0.376884,33299.5,283.473,0,0
-0.326633,33069.2,284.623,0,0
-0.276382,32809.9,285.377,0,0
-0.226131,32489.7,285.359,0,0
-0.175879,32102,284.489,0,0
-0.125628,31801,283.669,0,0
-0.0753769,31592,282.9,0,0
-0.0251256,31469.9,282.424,0,0
0.0251256,31436.3,282.247,0,0
0.0753769,31441.1,282.108,0,0
0.125628,31483.5,282.008,0,0
0.175879,31518.8,281.862,0,0
0.226131,31547.4,281.671,0,0
0.276382,31600.1,281.79,0,0
0.326633,31674.4,282.19,0,0
0.376884,31760.6,282.781,0,0
0.427136,31857.1,283.537,0,0
0.477387,31876.9,283.762,0,0
0.527638,31832.4,283.542,0,0
