x,p,U_0,U_1,U_2
-5,17291.4,0,0,0
-4.94975,17291.4,1.81933,0,0
-4.8995,17295.2,3.72974,0,0
-4.84925,17298.7,5.63862,0,0
-4.79899,17284.5,7.4477,0,0
-4.74874,17271.3,9.25986,0,0
-4.69849,17294.4,11.1919,0,0
-4.64824,17315.3,13.1179,0,0
-4.59799,17274.8,14.8758,0,0
-4.54774,17238.6,16.644,0,0
-4.49749,17295.5,18.6332,0,0
-4.44724,17344.7,20.6064,0,0
-4.39698,17259.6,22.3057,0,0
-4.34673,17187.2,24.027,0,0
-4.29648,17296.2,26.0639,0,0
-4.24623,17386.3,28.0734,0,0
-4.19598,17242.5,29.745,0,0
-4.14573,17124.9,31.4461,0,0
-4.09548,17289.2,33.4637,0,0
-4.04523,17419.6,35.4559,0,0
-3.99497,17227,37.2047,0,0
-3.94472,17075.3,38.9702,0,0
-3.89447,17272.4,40.8771,0,0
-3.84422,17423,42.7826,0,0
-3.79397,17216.9,44.6775,0,0
-3.74372,17060,46.5595,0,0
-3.69347,17248.2,48.3507,0,0
-3.64322,17386.9,50.1688,0,0
-3.59296,17208.6,52.1583,0,0
-3.54271,17077.6,54.1077,0,0
-3.49246,17225.7,55.8203,0,0
-3.44221,17330.4,57.5792,0,0
-3.39196,17198.4,59.5897,0,0
-3.34171,17104.4,61.5507,0,0
-3.29146,17202.5,63.2605,0,0
-3.24121,17268.3,65.0199,0,0
-3.19095,17181.8,67.0131,0,0
-3.1407,17121.7,68.9611,0,0
-3.09045,17177.7,70.7098,0,0
-3.0402,17212.7,72.4982,0,0
-2.98995,17160.7,74.4507,0,0
-2.9397,17125,76.3697,0,0
-2.88945,17152.6,78.1589,0,0
-2.8392,17168,79.9747,0,0
-2.78894,17138.3,81.8881,0,0
-2.73869,17118,83.7804,0,0
-2.68844,17129.4,85.6006,0,0
-2.63819,17134.2,87.4366,0,0
-2.58794,17117.2,89.3237,0,0
-2.53769,17105.2,91.1985,0,0
-2.48744,17108.2,93.0352,0,0
-2.43719,17107.7,94.8798,0,0
-2.38693,17096.4,96.7473,0,0
-2.33668,17087.7,98.6088,0,0
-2.28643,17086.2,100.453,0,0
-2.23618,17082.6,102.302,0,0
-2.18593,17073.3,104.163,0,0
-2.13568,17065.5,106.02,0,0
-2.08543,17061.5,107.869,0,0
-2.03518,17056.5,109.72,0,0
-1.98492,17049.3,111.576,0,0
-1.93467,17042.8,113.423,0,0
-1.88442,17038,115.25,0,0
-1.83417,17033.7,117.073,0,0
-1.78392,17030.6,118.89,0,0
-1.73367,17026.9,120.692,0,0
-1.68342,17021.8,122.463,0,0
-1.63317,17018.4,124.228,0,0
-1.58291,17018.6,125.981,0,0
-1.53266,17016,127.75,0,0
-1.48241,17008.1,129.549,0,0
-1.43216,16996,131.394,0,0
-1.38191,16976.2,133.323,0,0
-1.33166,17014.8,134.277,0,0
-1.28141,17154.8,133.534,0,0
-1.23116,19788.3,106.419,0,0
-1.1809,26577.9,35.3478,0,0
-1.13065,35473.4,-32.8955,0,0
-1.0804,47733,-96.6219,0,0
-1.03015,55837.5,-136.839,0,0
-0.979899,57578.1,-141.047,0,0
-0.929648,58195.5,-140.609,0,0
-0.879397,57162.8,-133.345,0,0
-0.829146,56533.1,-128.054,0,0
-0.778894,56471.4,-125.542,0,0
-0.728643,56754.1,-124.582,0,0
-0.678392,57502.8,-125.719,0,0
-0.628141,58381.4,-127.072,0,0
-0.577889,59428.7,-128.706,0,0
-0.527638,60255.9,-129.547,0,0
-0.477387,60808.6,-129.4,0,0
-0.427136,61283.8,-128.736,0,0
-0.376884,61666.1,-127.455,0,0
-0.326633,61801.2,-125.332,0,0
-0.276382,61651.8,-122.239,0,0
-0.226131,61442.6,-118.882,0,0
-0.175879,61167.1,-115.234,0,0
-0.125628,61161,-112.571,0,0
-0.0753769,61441,-110.954,0,0
-0.0251256,61824,-109.951,0,0
0.0251256,62312.2,-109.574,0,0
0.0753769,62872.4,-109.394,0,0
0.125628,63503.1,-109.408,0,0
0.175879,64206.3,-109.595,0,0
0.226131,64977.7,-109.943,0,0
0.276382,65699.3,-110.168,0,0
0.326633,66375.9,-110.28,0,0
0.376884,66998.7,-110.108,0,0
0.427136,67574.9,-109.689,0,0
0.477387,68006.8,-108.659,0,0
0.527638,68318.5,-107.119,0,0
0.577889,68272.3,-104.257,0,0
0.628141,67939.3,-100.336,0,0
0.678392,67391.2,-95.9324,0,0
0.728643,66677.4,-91.1584,0,0
0.778894,66476.6,-87.5252,0,0
0.829146,66654.9,-84.7352,0,0
0.879397,66862.3,-83.1635,0,0
0.929648,67090.3,-82.4561,0,0
0.979899,67755.8,-82.3208,0,0
1.03015,68719.2,-82.5749,0,0
1.0804,69424.3,-82.7447,0,0
1.13065,69960.8,-82.8595,0,0
1.1809,70616,-82.9412,0,0
1.23116,71345.5,-83.0023,0,0
1.28141,72081.6,-82.15,0,0
1.33166,72821.7,-80.7498,0,0
1.38191,73032.9,-80.125,0,0
1.43216,72940,-79.9461,0,0
1.48241,73671.8,-78.2985,0,0
1.53266,74857.4,-75.8427,0,0
1.58291,74475.3,-73.9813,0,0
1.63317,73267.4,-72.433,0,0
1.68342,74117,-70.961,0,0
1.73367,76003,-69.5273,0,0
1.78392,75952.6,-68.2032,0,0
1.83417,74969.7,-66.9317,0,0
1.88442,75841.5,-66.5771,0,0
1.93467,77566.3,-66.6441,0,0
1.98492,78133.7,-64.6777,0,0
2.03518,78193.4,-61.819,0,0
2.08543,77995.5,-60.2259,0,0
2.13568,77689.9,-59.1623,0,0
2.18593,78407.3,-56.3492,0,0
2.23618,79532.5,-52.8387,0,0
2.28643,78801.8,-51.0272,0,0
2.33668,77367.3,-49.86,0,0
2.38693,78907,-49.3861,0,0
2.43719,81519.1,-49.162,0,0
2.48744,81457.5,-48.9813,0,0
2.53769,80480.7,-48.8153,0,0
2.58794,81441.1,-49.1211,0,0
2.63819,83030,-49.58,0,0
2.68844,82805.3,-47.6212,0,0
2.73869,82023.5,-44.9196,0,0
2.78894,81975.4,-42.2952,0,0
2.8392,82140.4,-39.6931,0,0
2.88945,82728,-36.9049,0,0
